wb_cc_dataset
country,year,greenhouse_gas_emissions,agricultural_land,co2_emissions,arable_land,agricultural_irrigated_land,cereal_yield,population_growth,urban_population,GDP
Italy,2016,846940.002441406,,,,,,,,
Italy,2015,843880.004882813,,,,,,,,
Italy,2014,839190.002441406,,,,,,,,
Italy,2013,880049.987792969,,,,,,,,
Italy,2012,863679.992675781,,,,,,,,
Italy,2011,850460.021972656,,,,,,,,
Italy,2010,880159.973144531,,,,,,,,
Italy,2009,849690.002441406,,,,,,,,
Italy,2008,906159.973144531,,,,,,,,
Italy,2007,903289.978027344,,,,,,,,
Italy,2006,931729.98046875,,,,,,,,
Italy,2005,922929.992675781,,,,,,,,
Italy,2004,944900.024414063,,,,,,,,
Italy,2003,961380.004882813,,,,,,,,
Italy,2002,960150.024414063,,,,,,,,
Italy,2001,976270.01953125,,,,,,,,
Italy,2000,957530.029296875,,,,,,,,
Italy,1999,965059.997558594,,,,,,,,
Italy,1998,1002900.02441406,,,,,,,,
Italy,1997,1025930.05371094,,,,,,,,
Italy,1996,1063069.94628906,,,,,,,,
Italy,1995,1032959.9609375,,,,,,,,
Italy,1994,1037319.94628906,,,,,,,,
Italy,1993,1046880.00488281,,,,,,,,
Italy,1992,1055380.00488281,,,,,,,,
Italy,1991,1100760.00976563,,,,,,,,
Italy,1990,1128090.0,,,,,,,,
India,2020,,,,,,,,,
India,2019,3394870.1171875,,,,,,,,
India,2018,3388909.91210938,,,,,,,,
India,2017,3242169.921875,,,,,,,,
India,2016,3106340.08789063,,,,,,,,
India,2015,3064540.0390625,,,,,,,,
India,2014,3044959.9609375,,,,,,,,
India,2013,2863840.08789063,,,,,,,,
India,2012,2795860.10742188,,,,,,,,
India,2011,2645629.8828125,,,,,,,,
India,2010,2533989.99023438,,,,,,,,
India,2009,2423800.04882813,,,,,,,,
India,2008,2281000.0,,,,,,,,
India,2007,2180790.0390625,,,,,,,,
India,2006,2037300.04882813,,,,,,,,
India,2005,1940030.02929688,,,,,,,,
India,2004,1866489.99023438,,,,,,,,
India,2003,1779369.99511719,,,,,,,,
India,2002,1738530.02929688,,,,,,,,
India,2001,1719689.94140625,,,,,,,,
India,2000,1697229.98046875,,,,,,,,
India,1999,1658410.03417969,,,,,,,,
India,1998,1581959.9609375,,,,,,,,
India,1997,1551530.02929688,,,,,,,,
India,1996,1492170.04394531,,,,,,,,
India,1995,1440609.98535156,,,,,,,,
India,1994,1375469.97070313,,,,,,,,
India,1993,1331219.97070313,,,,,,,,
India,1992,1298280.02929688,,,,,,,,
India,1991,1273250.0,,,,,,,,
India,1990,1219550.0,,,,,,,,
Fiji,2020,,,,,,,,,
Fiji,2019,1166510.00976563,,,,,,,,
Fiji,2018,1204369.99511719,,,,,,,,
Fiji,2017,1246640.01464844,,,,,,,,
Fiji,2016,1261869.99511719,,,,,,,,
Fiji,2015,1270469.97070313,,,,,,,,
Fiji,2014,1305829.95605469,,,,,,,,
Fiji,2013,1348189.94140625,,,,,,,,
Fiji,2012,1336089.96582031,,,,,,,,
Fiji,2011,1293439.94140625,,,,,,,,
Fiji,2010,1234729.98046875,,,,,,,,
Fiji,2009,1176709.9609375,,,,,,,,
Fiji,2008,1235209.9609375,,,,,,,,
Fiji,2007,1302140.01464844,,,,,,,,
Fiji,2006,1266300.04882813,,,,,,,,
Fiji,2005,1287650.02441406,,,,,,,,
Fiji,2004,1286310.05859375,,,,,,,,
Fiji,2003,1294589.96582031,,,,,,,,
Fiji,2002,1286689.94140625,,,,,,,,
Fiji,2001,1254130.00488281,,,,,,,,
Fiji,2000,1276560.05859375,,,,,,,,
Fiji,1999,1259829.95605469,,,,,,,,
Fiji,1998,1233530.02929688,,,,,,,,
Fiji,1997,1279890.01464844,,,,,,,,
Fiji,1996,1291859.98535156,,,,,,,,
Fiji,1995,1277000.0,,,,,,,,
Fiji,1994,1261680.05371094,,,,,,,,
Fiji,1993,1203900.02441406,,,,,,,,
Fiji,1992,1210479.98046875,,,,,,,,
Fiji,1991,1197369.99511719,,,,,,,,
Fiji,1990,1181920.0,,,,,,,,
Kenya,2020,,,,,,,,,
Kenya,2019,653869.995117188,,,,,,,,
Kenya,2018,654250.0,,,,,,,,
Kenya,2017,671599.975585938,,,,,,,,
Kenya,2016,674000.0,,,,,,,,
Kenya,2015,667049.987792969,,,,,,,,
Kenya,2014,649409.973144531,,,,,,,,
Kenya,2013,658479.98046875,,,,,,,,
Kenya,2012,672119.995117188,,,,,,,,
Kenya,2011,662969.970703125,,,,,,,,
Kenya,2010,642909.973144531,,,,,,,,
Kenya,2009,625070.007324219,,,,,,,,
Kenya,2008,634570.007324219,,,,,,,,
Kenya,2007,630469.970703125,,,,,,,,
Kenya,2006,618010.009765625,,,,,,,,
Kenya,2005,597109.985351563,,,,,,,,
Kenya,2004,574619.995117188,,,,,,,,
Kenya,2003,562960.021972656,,,,,,,,
Kenya,2002,539090.026855469,,,,,,,,
Kenya,2001,530799.987792969,,,,,,,,
Kenya,2000,530239.990234375,,,,,,,,
Kenya,1999,503029.998779297,,,,,,,,
Kenya,1998,513919.982910156,,,,,,,,
Kenya,1997,488980.010986328,,,,,,,,
Kenya,1996,466070.007324219,,,,,,,,
Kenya,1995,446880.004882813,,,,,,,,
Kenya,1994,467339.996337891,,,,,,,,
Kenya,1993,440750.0,,,,,,,,
Kenya,1992,423429.992675781,,,,,,,,
Kenya,1991,420500.0,,,,,,,,
Kenya,1990,401750.0,,,,,,,,
Netherlands,2020,,,,,,,,,
Netherlands,2019,172229.995727539,,,,,,,,
Netherlands,2018,177259.994506836,,,,,,,,
Netherlands,2017,183350.006103516,,,,,,,,
Netherlands,2016,187339.996337891,,,,,,,,
Netherlands,2015,186449.996948242,,,,,,,,
Netherlands,2014,178190.002441406,,,,,,,,
Netherlands,2013,185389.999389648,,,,,,,,
Netherlands,2012,185720.001220703,,,,,,,,
Netherlands,2011,187339.996337891,,,,,,,,
Netherlands,2010,200509.994506836,,,,,,,,
Netherlands,2009,189850.006103516,,,,,,,,
Netherlands,2008,194929.992675781,,,,,,,,
Netherlands,2007,197600.006103516,,,,,,,,
Netherlands,2006,198110.000610352,,,,,,,,
Netherlands,2005,202759.994506836,,,,,,,,
Netherlands,2004,208529.998779297,,,,,,,,
Netherlands,2003,206779.998779297,,,,,,,,
Netherlands,2002,206830.001831055,,,,,,,,
Netherlands,2001,207000.0,,,,,,,,
Netherlands,2000,205960.006713867,,,,,,,,
Netherlands,1999,207940.002441406,,,,,,,,
Netherlands,1998,220220.001220703,,,,,,,,
Netherlands,1997,220009.994506836,,,,,,,,
Netherlands,1996,228059.997558594,,,,,,,,
Netherlands,1995,217199.996948242,,,,,,,,
Netherlands,1994,211979.995727539,,,,,,,,
Netherlands,1993,212339.996337891,,,,,,,,
Netherlands,1992,207000.0,,,,,,,,
Netherlands,1991,207660.003662109,,,,,,,,
Netherlands,1990,202340.0,,,,,,,,
Canada,2020,,,,,,,,,
Canada,2019,2476840.08789063,,,,,,,,
Canada,2018,2419469.97070313,,,,,,,,
Canada,2017,2324570.06835938,,,,,,,,
Canada,2016,2285750.0,,,,,,,,
Canada,2015,2287290.0390625,,,,,,,,
Canada,2014,2302340.08789063,,,,,,,,
Canada,2013,2317629.8828125,,,,,,,,
Canada,2012,2354330.078125,,,,,,,,
Canada,2011,2375290.0390625,,,,,,,,
Canada,2010,2285030.02929688,,,,,,,,
Canada,2009,2191800.04882813,,,,,,,,
Canada,2008,2327750.0,,,,,,,,
Canada,2007,2325780.02929688,,,,,,,,
Canada,2006,2316550.04882813,,,,,,,,
Canada,2005,2278879.8828125,,,,,,,,
Canada,2004,2252260.00976563,,,,,,,,
Canada,2003,2259719.97070313,,,,,,,,
Canada,2002,2186659.91210938,,,,,,,,
Canada,2001,2188879.8828125,,,,,,,,
Canada,2000,2176120.1171875,,,,,,,,
Canada,1999,2124199.95117188,,,,,,,,
Canada,1998,2085050.04882813,,,,,,,,
Canada,1997,2090159.91210938,,,,,,,,
Canada,1996,2229070.06835938,,,,,,,,
Canada,1995,2285600.09765625,,,,,,,,
Canada,1994,2363090.08789063,,,,,,,,
Canada,1993,2601070.06835938,,,,,,,,
Canada,1992,2795389.89257813,,,,,,,,
Canada,1991,2951939.94140625,,,,,,,,
Canada,1990,3015020.0,,,,,,,,
Turkiye,2020,,,,,,,,,
Turkiye,2019,488470.001220703,,,,,,,,
Turkiye,2018,499290.008544922,,,,,,,,
Turkiye,2017,500910.003662109,,,,,,,,
Turkiye,2016,459000.0,,,,,,,,
Turkiye,2015,432040.008544922,,,,,,,,
Turkiye,2014,424700.012207031,,,,,,,,
Turkiye,2013,399450.012207031,,,,,,,,
Turkiye,2012,408589.996337891,,,,,,,,
Turkiye,2011,393040.008544922,,,,,,,,
Turkiye,2010,370450.012207031,,,,,,,,
Turkiye,2009,360459.991455078,,,,,,,,
Turkiye,2008,357380.004882813,,,,,,,,
Turkiye,2007,360250.0,,,,,,,,
Turkiye,2006,330640.014648438,,,,,,,,
Turkiye,2005,301420.013427734,,,,,,,,
Turkiye,2004,288959.991455078,,,,,,,,
Turkiye,2003,282950.012207031,,,,,,,,
Turkiye,2002,271450.012207031,,,,,,,,
Turkiye,2001,261179.992675781,,,,,,,,
Turkiye,2000,283079.986572266,,,,,,,,
Turkiye,1999,259130.004882813,,,,,,,,
Turkiye,1998,259250.0,,,,,,,,
Turkiye,1997,258029.998779297,,,,,,,,
Turkiye,1996,249039.993286133,,,,,,,,
Turkiye,1995,231330.001831055,,,,,,,,
Turkiye,1994,216830.001831055,,,,,,,,
Turkiye,1993,221669.998168945,,,,,,,,
Turkiye,1992,215380.004882813,,,,,,,,
Turkiye,1991,207889.999389648,,,,,,,,
Turkiye,1990,205440.0,,,,,,,,
Ukraine,2020,,,,,,,,,
Ukraine,2019,233259.994506836,,,,,,,,
Ukraine,2018,244839.996337891,,,,,,,,
Ukraine,2017,233339.996337891,,,,,,,,
Ukraine,2016,259410.003662109,,,,,,,,
Ukraine,2015,247550.003051758,,,,,,,,
Ukraine,2014,297019.989013672,,,,,,,,
Ukraine,2013,331260.009765625,,,,,,,,
Ukraine,2012,335940.002441406,,,,,,,,
Ukraine,2011,343290.008544922,,,,,,,,
Ukraine,2010,327540.008544922,,,,,,,,
Ukraine,2009,307540.008544922,,,,,,,,
Ukraine,2008,362709.991455078,,,,,,,,
Ukraine,2007,373760.009765625,,,,,,,,
Ukraine,2006,364579.986572266,,,,,,,,
Ukraine,2005,357350.006103516,,,,,,,,
Ukraine,2004,370500.0,,,,,,,,
Ukraine,2003,396459.991455078,,,,,,,,
Ukraine,2002,371570.007324219,,,,,,,,
Ukraine,2001,366970.001220703,,,,,,,,
Ukraine,2000,365959.991455078,,,,,,,,
Ukraine,1999,376869.995117188,,,,,,,,
Ukraine,1998,383369.995117188,,,,,,,,
Ukraine,1997,411369.995117188,,,,,,,,
Ukraine,1996,435390.014648438,,,,,,,,
Ukraine,1995,495959.991455078,,,,,,,,
Ukraine,1994,519559.997558594,,,,,,,,
Ukraine,1993,609390.014648438,,,,,,,,
Ukraine,1992,692869.995117188,,,,,,,,
Ukraine,1991,782500.0,,,,,,,,
Ukraine,1990,824830.0,,,,,,,,
United States,2020,,,,,,,,,
United States,2019,6001209.9609375,,,,,,,,
United States,2018,6121629.8828125,,,,,,,,
United States,2017,5918759.765625,,,,,,,,
United States,2016,5974200.1953125,,,,,,,,
United States,2015,6082160.15625,,,,,,,,
United States,2014,6197430.17578125,,,,,,,,
United States,2013,6152160.15625,,,,,,,,
United States,2012,6011120.1171875,,,,,,,,
United States,2011,6229600.09765625,,,,,,,,
United States,2010,6427129.8828125,,,,,,,,
United States,2009,6158399.90234375,,,,,,,,
United States,2008,6583850.09765625,,,,,,,,
United States,2007,6767470.21484375,,,,,,,,
United States,2006,6660819.82421875,,,,,,,,
United States,2005,6752839.84375,,,,,,,,
United States,2004,6732259.765625,,,,,,,,
United States,2003,6645609.86328125,,,,,,,,
United States,2002,6582640.13671875,,,,,,,,
United States,2001,6736029.78515625,,,,,,,,
United States,2000,6787479.98046875,,,,,,,,
United States,1999,6625279.78515625,,,,,,,,
United States,1998,6624450.1953125,,,,,,,,
United States,1997,6578049.8046875,,,,,,,,
United States,1996,6316450.1953125,,,,,,,,
United States,1995,6146509.765625,,,,,,,,
United States,1994,6078520.01953125,,,,,,,,
United States,1993,5984359.86328125,,,,,,,,
United States,1992,5872939.94140625,,,,,,,,
United States,1991,5788890.13671875,,,,,,,,
United States,1990,5834140.0,,,,,,,,
South Africa,2020,,,,,,,,,
South Africa,2019,555429.992675781,,,,,,,,
South Africa,2018,549650.024414063,,,,,,,,
South Africa,2017,550700.012207031,,,,,,,,
South Africa,2016,536190.002441406,,,,,,,,
South Africa,2015,536119.995117188,,,,,,,,
South Africa,2014,560859.985351563,,,,,,,,
South Africa,2013,548349.975585938,,,,,,,,
South Africa,2012,538549.987792969,,,,,,,,
South Africa,2011,518340.026855469,,,,,,,,
South Africa,2010,534119.995117188,,,,,,,,
South Africa,2009,511380.004882813,,,,,,,,
South Africa,2008,532450.012207031,,,,,,,,
South Africa,2007,499380.004882813,,,,,,,,
South Africa,2006,478429.992675781,,,,,,,,
South Africa,2005,475540.008544922,,,,,,,,
South Africa,2004,475519.989013672,,,,,,,,
South Africa,2003,446839.996337891,,,,,,,,
South Africa,2002,422989.990234375,,,,,,,,
South Africa,2001,407959.991455078,,,,,,,,
South Africa,2000,373950.012207031,,,,,,,,
South Africa,1999,369000.0,,,,,,,,
South Africa,1998,388529.998779297,,,,,,,,
South Africa,1997,381040.008544922,,,,,,,,
South Africa,1996,364609.985351563,,,,,,,,
South Africa,1995,354339.996337891,,,,,,,,
South Africa,1994,341459.991455078,,,,,,,,
South Africa,1993,334540.008544922,,,,,,,,
South Africa,1992,323970.001220703,,,,,,,,
South Africa,1991,327750.0,,,,,,,,
South Africa,1990,331660.0,,,,,,,,
China,2020,,46.2524798427461,,,,,,,
China,2019,,47.1237724290889,,,,,,,
China,2018,,46.6580950127535,,,,,,,
China,2017,,48.3406179391109,,,,,,,
China,2016,,44.5399257932247,,,,,,,
China,2015,,45.3144240657095,,,,,,,
China,2014,,48.7383986566523,,,,,,,
China,2013,,48.3937102169923,,,,,,,
China,2012,,50.3854314463116,,,,,,,
China,2011,,51.5628132199992,,,,,,,
China,2010,,48.9920987204353,,,,,,,
China,2009,,50.0184840477461,,,,,,,
China,2008,,50.6733660492301,,,,,,,
China,2007,,51.8536766332999,,,,,,,
China,2006,,53.27857542663,,,,,,,
China,2005,,53.3993725837314,,,,,,,
China,2004,,51.4046574593546,,,,,,,
China,2003,,57.2094294677375,,,,,,,
China,2002,,58.1856995951733,,,,,,,
China,2001,,59.3181729429988,,,,,,,
China,2000,,59.2881038230738,,,,,,,
China,1999,,59.056923056897,,,,,,,
China,1998,,60.3830883980058,,,,,,,
China,1997,,60.1685693086706,,,,,,,
China,1996,,60.5586868515939,,,,,,,
China,1995,,60.3189149082957,,,,,,,
China,1994,,61.0680395194148,,,,,,,
China,1993,,59.8905275763769,,,,,,,
China,1992,,60.6594379287453,,,,,,,
China,1991,,60.2400322819989,,,,,,,
China,1990,,60.4554625567864,,,,,,,
China,2020,,56.0768976600843,,,,,,,
China,2019,,56.0770143746388,,,,,,,
China,2018,,56.077067426709,,,,,,,
China,2017,,56.0773345717245,,,,,,,
China,2016,,56.0816654067681,,,,,,,
China,2015,,56.090201435984,,,,,,,
China,2014,,56.0967380472843,,,,,,,
China,2013,,56.1080381401584,,,,,,,
China,2012,,56.107828313151,,,,,,,
China,2011,,56.1169108294991,,,,,,,
China,2010,,56.1202755223834,,,,,,,
China,2009,,56.1332002008976,,,,,,,
China,2008,,56.0709365390941,,,,,,,
China,2007,,56.0083515761775,,,,,,,
China,2006,,55.9457666238713,,,,,,,
China,2005,,55.8831828468425,,,,,,,
China,2004,,55.8204876430821,,,,,,,
China,2003,,55.7583318331087,,,,,,,
China,2002,,55.695637819864,,,,,,,
China,2001,,55.6328406499339,,,,,,,
China,2000,,55.5700446698569,,,,,,,
China,1999,,55.5703835980099,,,,,,,
China,1998,,55.5707814882368,,,,,,,
China,1997,,55.5713915865846,,,,,,,
China,1996,,55.5722138930535,,,,,,,
China,1995,,55.5681229787198,,,,,,,
China,1994,,55.5683116756343,,,,,,,
China,1993,,55.0794881942816,,,,,,,
China,1992,,54.6648317659929,,,,,,,
China,1991,,54.3542638628196,,,,,,,
China,1990,,53.7516963458667,,,,,,,
Italy,2020,,47.4970663155786,,,,,,,
Italy,2019,,47.7002776267209,,,,,,,
Italy,2018,,47.6415364359723,,,,,,,
Italy,2017,,47.7631164667831,,,,,,,
Italy,2016,,47.6843370735058,,,,,,,
Italy,2015,,47.9590666743106,,,,,,,
Italy,2014,,47.9363714531384,,,,,,,
Italy,2013,,47.8588626461821,,,,,,,
Italy,2012,,47.8108681930338,,,,,,,
Italy,2011,,47.9659169153087,,,,,,,
Italy,2010,,47.9100324181656,,,,,,,
Italy,2009,,48.4380826711798,,,,,,,
Italy,2008,,48.5356968706078,,,,,,,
Italy,2007,,48.6133019760805,,,,,,,
Italy,2006,,48.5948612066988,,,,,,,
Italy,2005,,48.8330083725198,,,,,,,
Italy,2004,,48.7799982796686,,,,,,,
Italy,2003,,48.7400017201342,,,,,,,
Italy,2002,,48.6355558103537,,,,,,,
Italy,2001,,48.8220120378332,,,,,,,
Italy,2000,,48.9124516406362,,,,,,,
Italy,1999,,49.1489483638031,,,,,,,
Italy,1998,,49.776517105037,,,,,,,
Italy,1997,,49.6404526572124,,,,,,,
Italy,1996,,49.6634105817984,,,,,,,
Italy,1995,,49.6791750214838,,,,,,,
Italy,1994,,49.5774970639627,,,,,,,
Italy,1993,,49.1578826764436,,,,,,,
Italy,1992,,48.5521152579269,,,,,,,
Italy,1991,,49.0820038381119,,,,,,,
Italy,1990,,51.6483831237648,,,,,,,
India,2020,,60.2198569213538,,,,,,,
India,2019,,60.2198133654425,,,,,,,
India,2018,,60.2435646561437,,,,,,,
India,2017,,60.2839387997403,,,,,,,
India,2016,,60.3990999566123,,,,,,,
India,2015,,60.4317248477225,,,,,,,
India,2014,,60.4495508191538,,,,,,,
India,2013,,60.4394606466455,,,,,,,
India,2012,,60.4206256579633,,,,,,,
India,2011,,60.4300431523044,,,,,,,
India,2010,,60.3974182611942,,,,,,,
India,2009,,60.5639061075814,,,,,,,
India,2008,,60.4593046525785,,,,,,,
India,2007,,60.4132261981239,,,,,,,
India,2006,,60.5094191760365,,,,,,,
India,2005,,60.5834137744308,,,,,,,
India,2004,,60.6671622062499,,,,,,,
India,2003,,60.6247834817149,,,,,,,
India,2002,,60.7293849367178,,,,,,,
India,2001,,60.7048321836142,,,,,,,
India,2000,,60.8689656564162,,,,,,,
India,1999,,60.8844372542623,,,,,,,
India,1998,,60.8349954089715,,,,,,,
India,1997,,60.8709836909178,,,,,,,
India,1996,,60.7391387701425,,,,,,,
India,1995,,60.8588754839079,,,,,,,
India,1994,,60.9752488068371,,,,,,,
India,1993,,61.0058556634457,,,,,,,
India,1992,,60.9799575540076,,,,,,,
India,1991,,61.0744688365022,,,,,,,
India,1990,,61.0162821750376,,,,,,,
Fiji,2020,,11.9945130315501,,,,,,,
Fiji,2019,,12.0631001371742,,,,,,,
Fiji,2018,,12.1262002743484,,,,,,,
Fiji,2017,,12.1920438957476,,,,,,,
Fiji,2016,,12.2661179698217,,,,,,,
Fiji,2015,,12.3347050754458,,,,,,,
Fiji,2014,,12.3950617283951,,,,,,,
Fiji,2013,,12.4499314128944,,,,,,,
Fiji,2012,,12.480109739369,,,,,,,
Fiji,2011,,12.5130315500686,,,,,,,
Fiji,2010,,12.6008230452675,,,,,,,
Fiji,2009,,12.6447187928669,,,,,,,
Fiji,2008,,12.6968449931413,,,,,,,
Fiji,2007,,12.7572016460905,,,,,,,
Fiji,2006,,12.8148148148148,,,,,,,
Fiji,2005,,12.8724279835391,,,,,,,
Fiji,2004,,12.9327846364883,,,,,,,
Fiji,2003,,12.9931412894376,,,,,,,
Fiji,2002,,13.0672153635117,,,,,,,
Fiji,2001,,13.1495198902606,,,,,,,
Fiji,2000,,14.4252400548697,,,,,,,
Fiji,1999,,14.4609053497942,,,,,,,
Fiji,1998,,14.5679012345679,,,,,,,
Fiji,1997,,14.6886145404664,,,,,,,
Fiji,1996,,14.8120713305898,,,,,,,
Fiji,1995,,14.9286889742183,,,,,,,
Fiji,1994,,15.1755348326934,,,,,,,
Fiji,1993,,15.2879868348875,,,,,,,
Fiji,1992,,15.4004388370817,,,,,,,
Fiji,1991,,15.5074053757543,,,,,,,
Fiji,1990,,15.6143719144268,,,,,,,
Kenya,2020,,49.969392216878,,,,,,,
Kenya,2019,,49.4385143650814,,,,,,,
Kenya,2018,,49.6494251395355,,,,,,,
Kenya,2017,,49.8706242444507,,,,,,,
Kenya,2016,,50.5866920445485,,,,,,,
Kenya,2015,,50.7626224954345,,,,,,,
Kenya,2014,,50.7976028190025,,,,,,,
Kenya,2013,,51.1772422130199,,,,,,,
Kenya,2012,,51.7050335656781,,,,,,,
Kenya,2011,,52.1217109493557,,,,,,,
Kenya,2010,,52.3712029630392,,,,,,,
Kenya,2009,,52.8213174207156,,,,,,,
Kenya,2008,,53.1675197407341,,,,,,,
Kenya,2007,,54.8882430103655,,,,,,,
Kenya,2006,,54.8213688623679,,,,,,,
Kenya,2005,,54.8213688623679,,,,,,,
Kenya,2004,,54.8213688623679,,,,,,,
Kenya,2003,,54.8110805319067,,,,,,,
Kenya,2002,,54.8110805319067,,,,,,,
Kenya,2001,,54.8110805319067,,,,,,,
Kenya,2000,,54.6979088968338,,,,,,,
Kenya,1999,,54.6958512307415,,,,,,,
Kenya,1998,,54.6953368142185,,,,,,,
Kenya,1997,,54.6876205663726,,,,,,,
Kenya,1996,,54.6876205663726,,,,,,,
Kenya,1995,,54.6284626662208,,,,,,,
Kenya,1994,,54.6258905836055,,,,,,,
Kenya,1993,,54.620746418375,,,,,,,
Kenya,1992,,54.6192031688058,,,,,,,
Kenya,1991,,54.6073715887754,,,,,,,
Kenya,1990,,54.0914118161475,,,,,,,
Netherlands,2020,,53.8892188892189,,,,,,,
Netherlands,2019,,53.959013959014,,,,,,,
Netherlands,2018,,54.1134541134541,,,,,,,
Netherlands,2017,,54.024354024354,,,,,,,
Netherlands,2016,,53.9055539055539,,,,,,,
Netherlands,2015,,54.8262548262548,,,,,,,
Netherlands,2014,,54.5888987830217,,,,,,,
Netherlands,2013,,54.8411991688928,,,,,,,
Netherlands,2012,,54.6174377224199,,,,,,,
Netherlands,2011,,55.1126927639383,,,,,,,
Netherlands,2010,,55.5084494515268,,,,,,,
Netherlands,2009,,56.8455380966499,,,,,,,
Netherlands,2008,,57.1475118483412,,,,,,,
Netherlands,2007,,56.7061611374408,,,,,,,
Netherlands,2006,,56.8601895734597,,,,,,,
Netherlands,2005,,57.396327014218,,,,,,,
Netherlands,2004,,57.7428909952607,,,,,,,
Netherlands,2003,,56.6854265402844,,,,,,,
Netherlands,2002,,57.4674170616114,,,,,,,
Netherlands,2001,,56.9520142180095,,,,,,,
Netherlands,2000,,58.0005924170616,,,,,,,
Netherlands,1999,,58.2642180094787,,,,,,,
Netherlands,1998,,58.4419431279621,,,,,,,
Netherlands,1997,,58.2345971563981,,,,,,,
Netherlands,1996,,58.6789099526066,,,,,,,
Netherlands,1995,,58.175355450237,,,,,,,
Netherlands,1994,,58.382701421801,,,,,,,
Netherlands,1993,,58.8862559241706,,,,,,,
Netherlands,1992,,58.8270142180095,,,,,,,
Netherlands,1991,,58.9751184834123,,,,,,,
Netherlands,1990,,59.4194312796209,,,,,,,
Canada,2020,,13.1584362579663,,,,,,,
Canada,2019,,13.1584362579663,,,,,,,
Canada,2018,,13.1584362579663,,,,,,,
Canada,2017,,13.1584362579663,,,,,,,
Canada,2016,,13.1584362579663,,,,,,,
Canada,2015,,13.1584362579663,,,,,,,
Canada,2014,,13.1584362579663,,,,,,,
Canada,2013,,13.1584362579663,,,,,,,
Canada,2012,,13.1584362579663,,,,,,,
Canada,2011,,13.1584362579663,,,,,,,
Canada,2010,,13.1584362579663,,,,,,,
Canada,2009,,13.1584362579663,,,,,,,
Canada,2008,,13.1584362579663,,,,,,,
Canada,2007,,13.1558444571717,,,,,,,
Canada,2006,,13.1573709193088,,,,,,,
Canada,2005,,13.1661598924145,,,,,,,
Canada,2004,,13.1846021330511,,,,,,,
Canada,2003,,13.2029341345878,,,,,,,
Canada,2002,,13.2257977869402,,,,,,,
Canada,2001,,13.2390216624218,,,,,,,
Canada,2000,,13.2566688683588,,,,,,,
Canada,1999,,13.2281702241387,,,,,,,
Canada,1998,,13.2643318906314,,,,,,,
Canada,1997,,13.3093386817595,,,,,,,
Canada,1996,,13.1952331059546,,,,,,,
Canada,1995,,13.2125399459531,,,,,,,
Canada,1994,,13.2901907232197,,,,,,,
Canada,1993,,13.3524103848487,,,,,,,
Canada,1992,,13.5223719413421,,,,,,,
